scope,category_th,category_en,sub_category,resource,unit,ef_value,id,ref_source
1,2.1) การเผาไหม้ที่มีการเคลื่อนที่ (Mobile combustion) (Off road),2.1) Mobile combustion (Off road),,Biodiesel: L,Liter,1.643976,09ab6843-cc58-498f-87fc-0ef9c9ba8521,
1,2.1) การเผาไหม้ที่มีการเคลื่อนที่ (Mobile combustion) (Off road),2.1) Mobile combustion (Off road),,Diesel B7,Liter,2.790070644,25c49ef3-dcde-4627-9ffc-6affa000bdcc,
1,2.1) การเผาไหม้ที่มีการเคลื่อนที่ (Mobile combustion) (Off road),2.1) Mobile combustion (Off road),,"Diesel: Aggriculture, L",Liter,2.978981184,92899798-d868-498f-b764-bcd55677bf3b,
1,2.1) การเผาไหม้ที่มีการเคลื่อนที่ (Mobile combustion) (Off road),2.1) Mobile combustion (Off road),,"Diesel: Forestry, L",Liter,2.978981184,2248c039-7759-4b59-8d91-1773e891cdae,
1,2.1) การเผาไหม้ที่มีการเคลื่อนที่ (Mobile combustion) (Off road),2.1) Mobile combustion (Off road),,"Diesel: Household, L",Liter,2.978981184,96daa811-de76-4493-a2c1-cf265d52924b,
1,2.1) การเผาไหม้ที่มีการเคลื่อนที่ (Mobile combustion) (Off road),2.1) Mobile combustion (Off road),,"Diesel: Industry, L",Liter,2.978981184,bf93cc16-d2ba-4fa7-b1f3-e46f657b4117,
1,2.1) การเผาไหม้ที่มีการเคลื่อนที่ (Mobile combustion) (Off road),2.1) Mobile combustion (Off road),,"Ethanol, Biogasoline: L",Liter,1.4967828,a490b229-83bc-434b-8762-bf32dfdcb680,
1,2.1) การเผาไหม้ที่มีการเคลื่อนที่ (Mobile combustion) (Off road),2.1) Mobile combustion (Off road),,"Gasohol E10,   2-stroke:  Forestry, L",Liter,2.11658928,a4348ed5-0dc1-483a-9b90-4ded3994b5bc,
1,2.1) การเผาไหม้ที่มีการเคลื่อนที่ (Mobile combustion) (Off road),2.1) Mobile combustion (Off road),,"Gasohol E10,   2-stroke:  Household, L",Liter,2.12540368,85fb8a47-f74a-4c26-9a93-415da9e56e39,
1,2.1) การเผาไหม้ที่มีการเคลื่อนที่ (Mobile combustion) (Off road),2.1) Mobile combustion (Off road),,"Gasohol E10,   2-stroke:  Industry, L",Liter,2.08133168,135b161a-7f21-4ffe-8ee9-82530d124bb5,
1,2.1) การเผาไหม้ที่มีการเคลื่อนที่ (Mobile combustion) (Off road),2.1) Mobile combustion (Off road),,"Gasohol E10,  2-stroke: Aggriculture, L",Liter,2.09014608,1fd2c6e0-e367-4be0-bb5f-094c3b46e236,
1,2.1) การเผาไหม้ที่มีการเคลื่อนที่ (Mobile combustion) (Off road),2.1) Mobile combustion (Off road),,"Gasohol E10,  4-stroke:  Forestry, L",Liter,1.9634076,3e873c76-11d5-4f2c-a38f-6cb685ef8205,
1,2.1) การเผาไหม้ที่มีการเคลื่อนที่ (Mobile combustion) (Off road),2.1) Mobile combustion (Off road),,"Gasohol E10,  4-stroke:  Household, L",Liter,2.0858648,cc3cfefd-4a04-4fab-a7e2-2e569e5b7343,
1,2.1) การเผาไหม้ที่มีการเคลื่อนที่ (Mobile combustion) (Off road),2.1) Mobile combustion (Off road),,"Gasohol E10,  4-stroke:  Industry, L",Liter,2.024164,46e12293-d7a6-4d5c-8f2d-c7d7d9ed6982,
1,2.1) การเผาไหม้ที่มีการเคลื่อนที่ (Mobile combustion) (Off road),2.1) Mobile combustion (Off road),,"Gasohol E10,  4-stroke: Aggriculture, L",Liter,2.0506072,6b613923-b0d8-4373-9691-2d31b277649c,
1,2.1) การเผาไหม้ที่มีการเคลื่อนที่ (Mobile combustion) (Off road),2.1) Mobile combustion (Off road),,LPG: kg,kg,3.205738148,4845ac0d-450b-4230-8a85-359bae0e717b,
1,2.1) การเผาไหม้ที่มีการเคลื่อนที่ (Mobile combustion) (Off road),2.1) Mobile combustion (Off road),,"Motor Gasoline 2-stroke:  Forestry, L",Liter,2.33474568,df661493-67e7-4cca-a3e4-040ac1625610,
1,2.1) การเผาไหม้ที่มีการเคลื่อนที่ (Mobile combustion) (Off road),2.1) Mobile combustion (Off road),,"Motor Gasoline 2-stroke:  Household, L",Liter,2.34356008,0c9d1651-cb51-49a8-97b6-239b312828bc,
